,populacao,obitos,casos,obitos_relativo,casos_relativo
Porto Vitória,4131,5,95,121.03606874848705,2299.685306221254
Matinhos,37434,71,2208,189.66714751295615,5898.381150825453
Nova Tebas,7540,8,259,106.10079575596816,3435.0132625994693
Paulo Frontin,7290,1,188,13.717421124828531,2578.875171467764
Engenheiro Beltrão,13705,13,863,94.85589201021526,6296.971908062751
Alvorada do Sul,11345,18,628,158.66020273248128,5535.478184222125
Tapira,5857,5,254,85.36793580331228,4336.6911388082635
Laranjal,6058,4,109,66.02839220864972,1799.2736876857048
Pato Branco,84054,150,6996,178.45670640302663,8323.220786637161
Coronel Domingos Soares,7716,6,969,77.76049766718506,12558.320373250388
Kaloré,4639,12,800,258.6764388876913,17245.095925846086
Quatro Pontes,3904,5,403,128.0737704918033,10322.745901639344
Cascavel,335451,647,32372,192.87466723903043,9650.291696849912
Uraí,11159,15,511,134.42064701138094,4579.263374854378
Barbosa Ferraz,11688,14,662,119.78097193702943,5663.928815879534
Piraquara,118635,216,9289,182.0710582880263,7829.898427951279
Terra Rica,17137,12,392,70.02392484098733,2287.448211472253
Santa Fé,12053,32,780,265.4940678669211,6471.417904256202
Campo do Tenente,8206,11,342,134.04825737265415,4167.6821837679745
Bandeirantes,31069,77,2645,247.83546300170588,8513.30908622743
Ramilândia,4444,7,275,157.5157515751575,6188.118811881188
Mirador,2321,1,100,43.084877208099954,4308.487720809996
Novo Itacolomi,2954,4,179,135.40961408259986,6059.580230196344
São José da Boa Vista,6213,19,498,305.8103975535168,8015.451472718493
Itaipulândia,10338,13,1107,125.7496614432192,10708.067324434127
Rancho Alegre,3774,4,236,105.98834128245893,6253.312135665077
Marilândia do Sul,9218,20,594,216.9668040789759,6443.9140811455845
Santa Tereza do Oeste,10608,18,923,169.68325791855204,8700.980392156862
Alto Paraná,14859,16,669,107.67884783632815,4502.321825156471
Faxinal,17222,37,1263,214.84148182557195,7333.643014748577
Lindoeste,5445,6,328,110.19283746556474,6023.875114784206
Assis Chateaubriand,34161,73,2974,213.69397851350956,8705.834138344897
Imbituva,32287,58,2433,179.63886393904667,7535.540620063803
Alto Paraíso,3245,2,153,61.633281972265024,4714.946070878274
Chopinzinho,20107,38,2004,188.98890933505743,9966.678271248818
Sertanópolis,16281,22,1818,135.12683496099748,11166.390270867883
